idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
349,speech,JESSICA,"So very, very boring.
",sadness,disappointment,sadness
350,speech,BARMAN,"Perhaps the company of old friends will have an invigorating effect?
",neutral,curiosity,neutral
351,speech,JESSICA,Yes.,neutral,approval,neutral
352,speech,JESSICA,Maybe.,neutral,confusion,neutral
353,consigne,,She stands up and moves slowly over to BARMAN. She brushes her body against his and kisses him lightly on the lips.,,,
354,speech,JESSICA,Bring my bags up to my room.,neutral,neutral,neutral
355,consigne,,"She walks towards the exit, turns her head back just before she leaves and looks at him. BARMAN stands frozen for a second then puts on the radio and begins to clear up the glasses left on the table by the large chairs. He returns to the bar and pours a large glass of whiskey, which he drains immediately. He picks up JESSICA'S bags and follows her turning the light off as he goes.",,,
356,consigne,,END OF ACT I SCENE I,,,
357,consigne,,Scene change: The large chairs are removed and replaced by caf'e9 style table and chairs. The sofas remain.,,,
358,consigne,,"Scene: Still the hotel lobby, but set out for its daytime custom. It is bright and sunny outside. ALAN is sitting at one of the tables cross-legged with a cigarette in one hand and a drink of whiskey in the other. BARMAN is behind the bar busying himself with misc chores e.g. cleaning glasses.",,,
359,consigne,,BARMAN turns off the radio. ALAN drains his glass then holds it up rattling the ice inside to get the attention of BARMAN. BARMAN brings over a bottle of scotch.,,,
360,speech,BARMAN,"Single or a double sir?
",neutral,neutral,neutral
361,speech,ALAN,"What time is it?
",neutral,curiosity,neutral
362,speech,BARMAN,"Just gone half eleven sir.
",neutral,neutral,neutral
363,speech,ALAN,Just a single then.,neutral,neutral,neutral
364,consigne,,Barman pours and ALAN drains the glass instantly,,,
365,speech,ALAN,And another.,neutral,neutral,neutral
366,consigne,,BARMAN pours another,,,
367,speech,ALAN,Bit too early for double measures.,neutral,neutral,neutral
368,speech,BARMAN,"Very puritan of you sir.
",neutral,neutral,neutral
369,speech,ALAN,"Yes I thought so
",neutral,approval,neutral
370,consigne,,BARMAN returns to the bar,,,
371,speech,ALAN,"What did you tell them last night?
",neutral,curiosity,neutral
372,speech,BARMAN,"I told them the truth sir, that you were yet to arrive.",neutral,neutral,neutral
373,speech,ALAN,"And nobody questioned it?
",anger,neutral,neutral
374,speech,BARMAN,No Sir.,neutral,neutral,neutral
375,speech,BARMAN,I gathered from their conversation that you have something of a habit for waiting until all of a party has gathered before joining them.,neutral,neutral,neutral
376,speech,ALAN,"So they didn't say I was late all the bloody time then?
",anger,neutral,surprise
377,speech,BARMAN,"I don't recall what exactly was said sir, but that was certainly the long and the short of it.",neutral,confusion,neutral
378,speech,ALAN,Hmmm Well I'm sure they had a lot of catching up to do.,neutral,neutral,neutral
379,speech,BARMAN,"There was certainly a good deal of catching up sir.
",neutral,neutral,neutral
380,speech,ALAN,I bet there was.,neutral,neutral,neutral
381,speech,ALAN,"Were Trevor and Jessica up to their old tricks again?
",neutral,curiosity,neutral
382,speech,BARMAN,"sir?
",surprise,neutral,neutral
383,speech,ALAN,"Ah, Bartenders!",surprise,neutral,surprise
384,speech,ALAN,Diplomatic to the last.,neutral,neutral,neutral
385,speech,BARMAN,We're born that way sir.,neutral,neutral,neutral
386,speech,ALAN,Trevor and Jessica were lovers at one time.,neutral,neutral,neutral
387,speech,ALAN,"Well Trevor was the lover, Jess was more the beloved.",neutral,neutral,neutral
388,speech,ALAN,"As the Ancient Greeks would have said; he was the erastes
",neutral,neutral,neutral
389,speech,ALAN,"and she was the eromenos
",surprise,neutral,neutral
390,speech,ALAN,"The idea was that the erastes
",neutral,neutral,neutral
391,speech,ALAN,"was the aggressor and the eromenos
",anger,neutral,neutral
392,speech,ALAN,was merely an object of desire.,neutral,neutral,neutral
393,speech,ALAN,The erastes had all the power and dictated how the affair went.,neutral,neutral,neutral
394,speech,ALAN,"All the eromenos
",neutral,neutral,neutral
395,speech,ALAN,could do was accept or rebuff the lover's overtures.,neutral,neutral,neutral
396,speech,BARMAN,"She didn't reciprocate his affections?
",anger,neutral,surprise
397,speech,ALAN,"Well she did in a way, or at first at least.",neutral,neutral,neutral
398,speech,ALAN,"Jess is an exceptional woman you see, she became the erastes
",neutral,admiration,neutral
399,speech,ALAN,"and the eromenos
",neutral,neutral,neutral
400,speech,ALAN,"She remained the object of all desire, but somehow managed to be the aggressor also.",neutral,neutral,neutral
401,speech,ALAN,"I've no idea how she did it, and the uc0u8232 Greeks would certainly have found her quite fascinating.",surprise,admiration,neutral
402,speech,ALAN,They would have likened her to Calypso I imagine.,neutral,neutral,neutral
403,speech,ALAN,"A woman of unconquerable beauty, but with the power to imprison a great hero like Odysseus for seven long years.",disgust,admiration,neutral
404,speech,BARMAN,She seemed to be most fond of him when they conversed last night sir.,disgust,neutral,neutral
405,speech,ALAN,She loves Trevor like we all love Trevor.,neutral,love,neutral
406,speech,ALAN,And she slept with him of course.,neutral,neutral,neutral
407,speech,ALAN,But that said he's hardly the first person she met who she took to bed.,neutral,neutral,neutral
408,consigne,,BARMAN begins to furiously clean a glass and looks away.,,,
409,speech,ALAN,But Trevor was totally besotted with her.,disgust,love,surprise
410,speech,ALAN,He loved her in a way that she needed rather then the way that she wanted.,neutral,love,neutral
411,speech,ALAN,She could never see it though.,surprise,neutral,neutral
412,speech,ALAN,Or maybe she could.,neutral,neutral,neutral
413,speech,ALAN,Maybe she decided Trevor would be better off without her.,neutral,neutral,neutral
414,consigne,,ALAN drains his glass and puts it firmly down on the table. BARMAN comes over and pours another drink,,,
415,speech,ALAN,"I think it's near enough noon now.
",neutral,neutral,neutral
416,consigne,,BARMAN doubles the measure then returns to the bar.,,,
417,speech,ALAN,"Either way, they're both married now.",neutral,neutral,neutral
418,speech,BARMAN,"Indeed sir, all's well that ends well.
",neutral,approval,neutral
419,speech,ALAN,"What part of '91they're married' made you think all was well?
",neutral,curiosity,surprise
420,speech,BARMAN,Very droll sir.,disgust,neutral,neutral
421,speech,ALAN,Maybe.,neutral,confusion,neutral
422,speech,ALAN,But I'm not sure either of them have the self-restraint to remain totally faithful.,neutral,confusion,neutral
423,speech,ALAN,"I'm not suggesting that they'll sleep together, but infidelity doesn't necessarily have to be physical.",neutral,disapproval,neutral
424,speech,ALAN,I don't think Trevor will be able to resist her.,neutral,disapproval,neutral
425,speech,ALAN,"The problem is she's a Siren, but she doesn't even know she's singing half the time.",neutral,neutral,neutral
426,speech,ALAN,It's an instinct rather then an action.,neutral,neutral,neutral
427,speech,ALAN,I wonder if old Edwin died on purpose just to see what would happen when we all got together again.,surprise,surprise,sadness
428,speech,BARMAN,"Sir is rather fond of his Classical allusions isn't he?
",neutral,neutral,neutral
429,speech,ALAN,"There isn't much that's worth knowing that can't be found in the pages of Homer, Plato, and Sophocles.",neutral,neutral,neutral
430,speech,ALAN,"Greek society reached its zenith two and a half thousand years ago, unfortunately for them its been in steady decline ever since.",sadness,disappointment,sadness
431,speech,ALAN,I like to remember them in their pomp.,joy,love,neutral
432,speech,BARMAN,"A most interesting view sir, if perhaps a little xenophobic.",disgust,admiration,neutral
433,speech,ALAN,The only thing wrong with xenophobia is it's a bloody Greek word!,anger,disapproval,disgust
434,speech,ALAN,"I loved learning about their ancient culture dearly, but I was forced to learn their god-awful language too.",fear,love,neutral
435,speech,ALAN,Xenophobia is what gives a nation its ability to achieve great things.,neutral,admiration,neutral
436,speech,ALAN,Without xenophobia society as we know it would crumble.,fear,neutral,neutral
437,speech,BARMAN,"Sir will forgive me for saying so, but he doesn't seem to have one hundred percent conviction in his views.
",neutral,neutral,neutral
438,speech,ALAN,"Nonsense, I have perfect conviction in my views, I just happen to talk nonsense sometimes.",neutral,approval,neutral
439,speech,ALAN,It's what happens when one's mouth becomes too dry.,disgust,neutral,neutral
440,consigne,,Drains his glass and pushes it an inch towards BARMAN. BARMAN walks over and refills it. The bottle is nearly empty and BARMAN leaves it next to ALAN'S glass.,,,
441,speech,BARMAN,"If sir will excuse me.
",neutral,neutral,neutral
442,speech,ALAN,By all means my good man.,joy,admiration,neutral
443,consigne,,BARMAN goes to exit stage. MARGARET enters and they pass.,,,
444,speech,BARMAN,Madam.,neutral,neutral,neutral
445,consigne,,Exits,,,
446,speech,BARMAN,MARGARET: Well well well.,neutral,neutral,neutral
447,consigne,,Catches ALAN'S attention.,,,
448,speech,BARMAN,ALAN: My goodness.,surprise,neutral,surprise
449,speech,BARMAN,You look wonderful Margaret.,joy,admiration,joy
450,speech,BARMAN,A true vision.,neutral,neutral,neutral
451,consigne,,He stands and they embrace then both sit. There's a long silence.,,,
452,speech,ALAN,You look great.,neutral,admiration,joy
453,consigne,,smiles,,,
454,speech,MARGARET,"You said.
",neutral,neutral,neutral
455,speech,ALAN,Well it's true.,neutral,approval,neutral
456,speech,ALAN,I can't believe how long it's been.,surprise,surprise,surprise
457,speech,MARGARET,"I've been dreading this moment ever since I heard.
",fear,fear,fear
458,speech,ALAN,Dreading it?,surprise,neutral,neutral
459,speech,ALAN,It's all I've been looking forward to.,neutral,neutral,joy
460,speech,ALAN,"Why were you dreading it?
",fear,curiosity,surprise
461,speech,MARGARET,I didn't know whether I'd be able to cope or not.,fear,confusion,fear
462,consigne,,He laughs,,,
463,speech,MARGARET,I relied on you so much in the old days.,neutral,approval,joy
464,speech,MARGARET,It took a long time to learn to cope on my own.,fear,realization,sadness
465,speech,ALAN,What utter rubbish.,disgust,annoyance,disgust
466,speech,ALAN,You're the only one of us who could ever really cope.,neutral,approval,neutral
467,speech,ALAN,You're the one that made sure we all coped too.,neutral,approval,neutral
468,speech,ALAN,But you're also the one who always called my bluff.,neutral,neutral,surprise
469,speech,ALAN,I was worried about seeing you too.,fear,nervousness,fear
470,speech,MARGARET,"Really?
",surprise,curiosity,surprise
471,speech,ALAN,Yes.,neutral,approval,neutral
472,speech,ALAN,"I was worried you'd try and seduce me!
",fear,fear,fear
473,consigne,,laughs,,,
474,speech,MARGARET,Oh there you go again.,neutral,neutral,neutral
475,speech,MARGARET,It's like trying to have a serious conversation with Groucho Marx.,neutral,neutral,neutral
476,speech,ALAN,"Oh good Groucho Marx story.
",joy,admiration,joy
477,speech,MARGARET,"Alan don't.
",neutral,neutral,neutral
478,speech,ALAN,Come on indulge me.,neutral,neutral,neutral
479,speech,ALAN,Groucho asked a woman why she had thirteen children and she said it was because she loved her husband.,disgust,neutral,neutral
480,speech,ALAN,"Groucho said 
",fear,neutral,neutral
481,consigne,,affects poor Groucho Marx accent,,,
482,speech,ALAN,"'91Well I love my cigar, but I take it out once in a while'.
",neutral,love,neutral
483,consigne,,laughs,,,
484,speech,MARGARET,I have missed you.,sadness,sadness,neutral
485,speech,ALAN,"It's perfectly understandable, I'm very missable.",sadness,sadness,sadness
486,speech,ALAN,I've actually had women who miss me so much they often don't realise I'm there.,surprise,sadness,sadness
487,speech,ALAN,I had a girlfriend who brought a man back one time and didn't realise I was in the house till after she'd made love to him.,surprise,neutral,neutral
488,speech,ALAN,"I really wouldn't have minded so much, but I was in the bed at the time.",disgust,neutral,neutral
489,speech,MARGARET,"I think you're more like Edwin then any of us.
",neutral,neutral,neutral
490,speech,ALAN,No I don't think so.,neutral,disapproval,neutral
491,speech,ALAN,He's like all of us.,neutral,neutral,neutral
492,speech,ALAN,"We've all got a bit of Edwin I think, and we're all lucky to.",neutral,joy,joy
493,speech,MARGARET,Perhaps you're right.,neutral,approval,neutral
494,speech,MARGARET,I was thinking that maybe he died on purpose just to get us all back together again.,neutral,neutral,sadness
495,consigne,,smiles and laughs to himself,,,
496,speech,ALAN,Yes.,neutral,approval,neutral
497,speech,ALAN,I think you might be on to something there.,neutral,neutral,neutral
498,speech,MARGARET,I could almost believe he did you know.,surprise,surprise,surprise
499,speech,MARGARET,He was so good to all of us; he gave us all so much.,joy,admiration,joy
500,speech,MARGARET,"Remember his graduation speech?
",neutral,neutral,neutral
501,consigne,,laughs,,,
502,speech,ALAN,"Oh yes!
",surprise,excitement,joy
503,speech,MARGARET,Well I think I would have been one of those people who missed out if it weren't for him.,neutral,disappointment,neutral
504,speech,MARGARET,I never knew what it was to live.,surprise,confusion,joy
505,speech,MARGARET,I just thought '91play by the rules and work hard' was the way to get by in life.,neutral,approval,neutral
506,speech,MARGARET,I never realised that's all it was.,surprise,realization,neutral
507,speech,MARGARET,It was just getting by.,neutral,neutral,neutral
508,speech,MARGARET,"I never enjoyed life one bit until Edwin adopted me.
",joy,sadness,joy
509,speech,ALAN,He taught us all so much.,neutral,admiration,joy
510,speech,ALAN,He taught me to always be happy.,joy,joy,joy
511,consigne,,Pause,,,
512,speech,ALAN,"But I'm not like him Margaret, I can't just be happy.",sadness,disapproval,sadness
513,speech,ALAN,"Some of us can do it, 
",neutral,approval,neutral
514,consigne,,takes a long swig of his drink,,,
515,speech,ALAN,"and some of us need a little help.
",sadness,neutral,neutral
516,speech,MARGARET,"You don't need help Alan, at least not that sort of help.",neutral,disapproval,neutral
517,speech,ALAN,I need this.,neutral,neutral,neutral
518,consigne,,Drinks again,,,
519,speech,ALAN,"MARGARET: But why?
",surprise,neutral,neutral
520,speech,ALAN,"Is it not said that '91in the seed of grape and grain the source of happiness lies'.
",neutral,neutral,neutral
521,speech,MARGARET,"And which great man said that?
",neutral,curiosity,neutral
522,speech,ALAN,Do you know I'm not at all sure.,neutral,confusion,neutral
523,speech,ALAN,"I think I'll claim it as my own.
",neutral,neutral,neutral
524,speech,MARGARET,"The only saying I know is '91in wine there is truth'.
",neutral,neutral,neutral
525,speech,ALAN,"Well I better stick to Scotch then, I can't abide the truth.",disgust,disapproval,disgust
526,consigne,,Drinks,,,
527,speech,ALAN,Then again maybe the truth is more palatable when doused in wine.,neutral,confusion,neutral
528,consigne,,Long Pause while he drains his glass,,,
529,speech,ALAN,But why take the risk?,fear,curiosity,neutral
530,consigne,,Empties the rest of the bottle into his glass.,,,
531,speech,ALAN,MARGARET: Are all famous poets this maudlin?,neutral,curiosity,surprise
532,speech,ALAN,"I don't know, you'll have to ask them.",neutral,neutral,neutral
533,speech,ALAN,But all poets who haven't had anything published in three years probably are.,neutral,neutral,neutral
534,speech,MARGARET,"Every poet goes through writers' block.
",neutral,neutral,neutral
535,speech,ALAN,You need to be a writer to get a block.,neutral,neutral,neutral
536,speech,ALAN,I'm just a washed up hack.,neutral,neutral,neutral
537,speech,ALAN,"I've barely even written anything since the accident.
",neutral,disappointment,neutral
538,speech,MARGARET,"I was so sorry to read about that, it must have been so devastating.",sadness,sadness,sadness
539,speech,MARGARET,Charlotte was a wonderful woman.,joy,admiration,joy
540,speech,ALAN,"Yes, I bet Edwin's up there trying to shag her this very minute.
",neutral,neutral,neutral
541,speech,MARGARET,Why is it you make a joke every time someone touches a nerve.,surprise,amusement,neutral
542,speech,ALAN,Maybe is my way of telling people to mind their own business.,neutral,neutral,neutral
543,speech,MARGARET,"I'm not going to let this go Al, you've got to talk about it at some point.",neutral,neutral,neutral
544,speech,MARGARET,Honestly man it's midday and you're tight already.,neutral,neutral,neutral
545,speech,ALAN,I thought I was hiding it rather well.,neutral,neutral,neutral
546,speech,MARGARET,"You are, but I know you, you can't hide anything from me.",anger,neutral,neutral
547,speech,MARGARET,And besides you can't hide that smell.,disgust,neutral,disgust
548,speech,ALAN,Well if I can fool most people then that'll do for me.,neutral,neutral,anger
549,speech,MARGARET,Talk to me.,neutral,neutral,neutral
550,speech,MARGARET,"I want to help.
",sadness,desire,neutral
551,consigne,,JESSICA enters.,,,
552,speech,JESSICA,Is that Alan Hemley!,surprise,neutral,surprise
553,consigne,,Affects southern USA accent,,,
554,speech,JESSICA,"Well I do declare that it is!
",anger,neutral,joy
555,consigne,,She runs over and kisses him on both cheeks then takes a seat.,,,
556,speech,JESSICA,"Goodness me, an Olympiad and a famous artist.",joy,admiration,joy
557,speech,JESSICA,What company I keep these days.,neutral,neutral,neutral
558,speech,JESSICA,To think; the sort of people I used to associate with at University!,surprise,realization,joy
559,speech,ALAN,Young Jessica looking as insatiable as ever.,neutral,neutral,neutral
560,speech,JESSICA,How bloody rude!,anger,anger,anger
561,speech,JESSICA,You're lucky I've got a forgiving nature you beastly man.,neutral,admiration,neutral
562,speech,ALAN,"Sorry, old habits and all that.
",sadness,remorse,sadness
563,speech,JESSICA,Well I see you've started the party without me.,surprise,neutral,sadness
564,consigne,,Shouting,,,
565,speech,JESSICA,"Barkeep!
",neutral,neutral,neutral
566,speech,ALAN,I think he went down to the cellar.,neutral,neutral,neutral
567,speech,JESSICA,What use is a barman if he's deserted his bar?,anger,curiosity,disgust
568,consigne,,Shouting,,,
569,speech,JESSICA,Barkeep!,surprise,neutral,surprise
570,speech,MARGARET,I trust you slept well?,neutral,curiosity,neutral
571,speech,JESSICA,"Like an angel.
",fear,neutral,neutral
572,speech,ALAN,Really?,surprise,curiosity,surprise
573,speech,ALAN,"I could have sworn I heard you praying last night.
",neutral,neutral,neutral
574,speech,JESSICA,"Praying?
",neutral,neutral,neutral
575,speech,ALAN,"Well why would somebody be shouting for God if they weren't praying?
",disgust,curiosity,neutral
576,consigne,,to MARGARET,,,
577,speech,JESSICA,He's only been here five minutes and already he's trying to sully my good name.,disgust,annoyance,disgust
578,speech,ALAN,You need to have a good name for it to become sullied.,neutral,caring,neutral
579,consigne,,BARMAN arrives with a bottle of Scotch and stands next to JESSICA.,,,
580,speech,JESSICA,Ah good man.,joy,admiration,neutral
581,speech,JESSICA,What are we all having then?,neutral,curiosity,neutral
582,speech,JESSICA,How about a pitcher of G and T?,neutral,curiosity,neutral
583,speech,BARMAN,"Very good madam.
",neutral,admiration,neutral
584,speech,ALAN,I'll have mine with a Whiskey chaser.,neutral,neutral,neutral
585,speech,JESSICA,I'd forgotten what a cracking good wheeze you are.,joy,realization,joy
586,speech,JESSICA,"It's what I love about being English, no one seems to mind if we get squiffy in the afternoon.",joy,love,joy
587,speech,ALAN,Now I'd have to take issue with you there.,anger,neutral,neutral
588,speech,ALAN,It's not easy being an Englishman.,fear,disapproval,neutral
589,consigne,,"BARMAN brings over the pitcher, three glasses and a whiskey. He returns to the bar. MARGARET pours.",,,
590,speech,JESSICA,"What on earth do you mean?
",surprise,curiosity,neutral
591,speech,ALAN,"Well every foreigner has a simple aspiration, something they can constantly strive for but never achieve.",neutral,neutral,neutral
592,speech,ALAN,Thus they remain content because they are always in pursuit of their ultimate goal.,neutral,neutral,neutral
593,consigne,,Pause,,,
594,speech,ALAN,"JESSICA: 
",neutral,neutral,neutral
595,consigne,,laughs,,,
596,speech,ALAN,Well come on then.,neutral,neutral,neutral
597,speech,ALAN,"I know you poets are awfully fond of suspense, but to me a dramatic pause just feels like a forgotten line.
",fear,admiration,neutral
598,speech,ALAN,"A scathing if accurate assessment.
",anger,neutral,neutral
599,speech,JESSICA,"So what is this magic goal all foreigners have.
",neutral,curiosity,neutral
600,speech,ALAN,Simple.,neutral,neutral,neutral
601,consigne,,Pause,,,
602,speech,ALAN,"To be more like an Englishman.
",disgust,neutral,neutral
603,consigne,,Claps her hands together,,,
604,speech,JESSICA,Ah!,surprise,neutral,surprise
605,speech,JESSICA,Of course.,neutral,approval,neutral
606,speech,ALAN,"Thus an Englishman, due to the curse of his nationality must constantly strive to achieve great insurmountable feats simply to remain content.
",neutral,neutral,neutral
607,speech,JESSICA,Perhaps this is why Englishmen see lovemaking as a chore whilst Europeans see it as a pleasure.,neutral,neutral,neutral
608,speech,ALAN,Exactly.,neutral,approval,neutral
609,speech,ALAN,"Rather then taking any real joy from the moment, we've instead terrified that we're doing it wrong.
",fear,fear,neutral
610,speech,JESSICA,"It's certainly one explanation.
",neutral,neutral,neutral
611,speech,MARGARET,"Yes, though I'm not sure Trevor would agree.",neutral,confusion,neutral
612,speech,ALAN,Trevor is from St.,neutral,neutral,neutral
613,speech,ALAN,"Andrews, he's more English then I am!",surprise,neutral,neutral
614,speech,ALAN,Plus he carries the added burden all Scots do of hating the fact that they are in essence English.,disgust,neutral,neutral
615,speech,ALAN,"Thus they lack contentment as they have achieved Englishness, but also suffer deep self-loathing for ascending to such a state of disloyal perfection.",neutral,disappointment,neutral
616,consigne,,Drinks,,,
617,speech,ALAN,This is why the only man more miserable then an Englishman is a Scot.,sadness,neutral,neutral
618,consigne,,Enter TREVOR,,,
619,consigne,,Alan stands and they shake hands. They both sit. BARMAN brings over an extra glass then returns to the bar. MARGARET pours TREVOR a drink.,,,
620,speech,TREVOR,"What's this English swine saying about me?
",surprise,curiosity,surprise
621,speech,ALAN,Ah just the usual.,neutral,neutral,neutral
622,speech,ALAN,"I was actually commending you on your Englishness.
",neutral,admiration,neutral
623,speech,TREVOR,How dare you.,anger,anger,anger
624,speech,TREVOR,You turn up late and when you finally arrive you barrage me with insults.,anger,neutral,anger
625,speech,JESSICA,You've obviously forgotten what this chap's like if you think that was a barrage.,neutral,neutral,disgust
626,speech,TREVOR,What it lacked in quantity it made up for in ferocity.,neutral,neutral,neutral
627,speech,TREVOR,"It may only have been one comment, but it was a blight the scale of Hiroshima.",disgust,neutral,neutral
628,speech,MARGARET,"Why is it you make so many allusions to warfare?
",surprise,curiosity,surprise
629,speech,TREVOR,Envy I suppose.,neutral,neutral,neutral
630,speech,TREVOR,I've often wanted to follow in the footsteps of McLeishs before me who fought and died for King and Country.,sadness,desire,neutral
631,speech,JESSICA,Well what's stopping you?,anger,curiosity,surprise
632,speech,TREVOR,"It's very dangerous being in the army you know.
",fear,fear,fear
633,speech,MARGARET,"So just good old-fashioned cowardice then?
",anger,curiosity,neutral
634,speech,TREVOR,"I like to think it's more of a refined cowardice that combines aspects of principle, rebelliousness and good old fashioned greed.",neutral,approval,neutral
635,speech,JESSICA,"Greed?
",disgust,neutral,disgust
636,speech,TREVOR,Absolutely.,neutral,approval,neutral
637,speech,TREVOR,"I've worked all my life to be in a position where I can accumulate as much money as humanly possible, what's the point in being rich if one is dead.",neutral,neutral,neutral
638,speech,MARGARET,Yes fair point.,neutral,approval,neutral
639,speech,MARGARET,"If you work every hour god sends and then can't see the fruits of your labour, then it's a touch well, fruitless.
",sadness,neutral,disgust
640,speech,TREVOR,Indeed.,neutral,approval,neutral
641,speech,TREVOR,"And how on earth will one be able to ask people at parties how much their property is worth if one has heroically perished.
",surprise,curiosity,neutral
642,speech,JESSICA,There are no decent wars these days anyway.,neutral,disapproval,neutral
643,speech,JESSICA,It's all about technology really isn't it?,surprise,curiosity,neutral
644,speech,JESSICA,And I really feel for those boys out in the Middle East.,sadness,sadness,sadness
645,speech,JESSICA,Every time they shoot a civilian they're hauled over the coals for it.,anger,neutral,disgust
646,speech,JESSICA,I mean it's ridiculous!,disgust,annoyance,disgust
647,speech,JESSICA,"When you go to war, you go to war with a country.",disgust,neutral,neutral
648,speech,JESSICA,"If you kill the civilians of that country, well yes, it's a shame, but it's still the bloody enemy really isn't it?",disgust,annoyance,anger
649,speech,JESSICA,My Gramppy didn't have two brothers and a husband killed just so some upstart lefty journo bastard could make our boys look like the badguys every time a poor pathetic wog catches a stray bullet.,disgust,neutral,disgust
650,speech,MARGARET,"Jessica listen to yourself, can't you understand how outrageous you sound.",anger,neutral,disgust
651,speech,MARGARET,"The war was illegal anyway.
",anger,disapproval,neutral
652,speech,JESSICA,"Oh don't even get me started on that.
",disgust,neutral,disgust
653,speech,ALAN,"No please don't get started on that.
",neutral,disapproval,neutral
654,speech,JESSICA,Half of bloody Europe denouncing us for deposing a bloody evil tyrant!,anger,anger,anger
655,speech,JESSICA,There wouldn't even be a Europe if we hadn't have defended the bloody thing twice over.,anger,annoyance,neutral
656,speech,JESSICA,"And the Germans themselves, the bloody Germans, accuse us of being heavy handed.",anger,neutral,anger
657,speech,JESSICA,"I mean it's a bit bloody rich isn't it!
",anger,neutral,anger
658,consigne,,ALAN has drained both of his drinks already. He holds his glass in the air and shakes the ice in it. BARMAN comes over and refills it with whiskey then returns to the bar.,,,
659,speech,MARGARET,Oh good Lord!,surprise,admiration,joy
660,speech,MARGARET,"Have you any idea how'85.
",surprise,curiosity,neutral
661,speech,TREVOR,Ladies please.,neutral,neutral,neutral
662,speech,TREVOR,I'm sure we can find far more interesting and less controversial things to talk about then international affairs.,neutral,approval,neutral
663,speech,ALAN,"Thank God.
",joy,gratitude,joy
664,speech,JESSICA,"You're right, I'm awfully sorry.
",sadness,remorse,sadness
665,speech,MARGARET,"Yes, you're quite right Trevor, what shall we talk about then?
",neutral,approval,neutral
666,speech,TREVOR,I really don't mind.,disgust,approval,neutral
667,speech,TREVOR,"Oh, I know; did anybody happen to read the serialisation of Lord McLaughlin's autobiography?
",surprise,curiosity,neutral
668,consigne,,ALAN drains his glass and shakes it in the air so this time the ice rattles more loudly. BARMAN comes over to fill it and begins to return to the bar.,,,
669,speech,MARGARET,"No the last thing I read was Harry Potter.
",neutral,neutral,neutral
670,consigne,,ALAN grabs the back of BARMAN'S shirt and pulls him back. He drains his glass and BARMAN refills it. ALAN points to the ground to indicate BARMAN should stand next to him and not leave.,,,
671,speech,ALAN,Urrrrhhhh'85..,sadness,neutral,fear
672,consigne,,They all turn to look at ALAN as he is desperately looking for something to say,,,
673,speech,ALAN,"Wouldanybody like a drink?
",neutral,curiosity,neutral
674,speech,JESSICA,"I think we're all still working on ours, bit out of practise I'm afraid.",fear,fear,neutral
675,speech,ALAN,Very good.,joy,admiration,joy
676,speech,ALAN,"Thank you Barkeep.
",neutral,gratitude,neutral
677,speech,BARMAN,My pleasure sir.,disgust,gratitude,neutral
678,consigne,,BARMAN returns to bar.,,,
679,speech,ALAN,"Do you realise this is the first time we've all been alone together?
",surprise,curiosity,sadness
680,speech,MARGARET,What do you mean?,surprise,confusion,surprise
681,speech,MARGARET,"Of course it isn't.
",neutral,disapproval,neutral
682,speech,TREVOR,"No, no he's right.",disgust,approval,neutral
683,speech,TREVOR,Think about it.,neutral,neutral,neutral
684,speech,TREVOR,The four of us have never been together without Edwin in the room.,neutral,neutral,neutral
685,speech,JESSICA,"Good Lord that is queer isn't it.
",surprise,neutral,neutral
686,speech,MARGARET,Yes you're right.,neutral,approval,neutral
687,speech,MARGARET,"I can't believe it.
",surprise,surprise,surprise
688,speech,ALAN,"Well if you're having trouble adjusting we could go through to the billiard room, his coffin's on the table.",neutral,neutral,neutral
689,speech,MARGARET,"It would seem undignified if it were anyone else, but I think it's a rather suitable place to rest him considering the amount of nonsense he got up to in his life.",disgust,approval,neutral
690,speech,TREVOR,Remember when he joined the Dangerous Sports Club.,neutral,neutral,neutral
691,speech,JESSICA,"Yes, but it wasn't a case of paracending or abseiling was it?",neutral,confusion,neutral
692,speech,JESSICA,"Didn't he go down a waterfall on a tea tray?
",surprise,neutral,surprise
693,speech,TREVOR,"Well yes, but it was only a small one.",neutral,approval,neutral
694,speech,ALAN,Tea tray or waterfall?,neutral,neutral,neutral
695,speech,TREVOR,"Both I think.
",neutral,neutral,neutral
696,speech,MARGARET,"And he almost became the first man to cross the Channel on an inflatable kangaroo.
",neutral,neutral,joy
697,speech,JESSICA,Really?,surprise,curiosity,surprise
698,speech,JESSICA,"Why only almost?
",surprise,neutral,surprise
699,speech,ALAN,"He was arrested as soon as he got into French waters because he didn't have a licence for the kangaroo.
",anger,neutral,neutral
700,speech,TREVOR,"He was rather upset as I recall.
",neutral,sadness,neutral
701,speech,ALAN,"Yes, he got the idea into his head that they were only arresting him because the French Dangerous Sports Society were planning a cross channel kangaroo record of their own.",neutral,neutral,neutral
702,speech,ALAN,He rather gave up on the dangerous sports after that.,neutral,neutral,neutral
703,speech,MARGARET,"Yes that's when he went to Switzerland wasn't it?
",neutral,neutral,neutral
704,speech,JESSICA,"I remember that all right, I had to wire the Swiss authorities eleven thousand Francs to get him out of jail.",neutral,neutral,neutral
705,speech,TREVOR,"I never heard about this, what was he in for?
",surprise,curiosity,surprise
706,speech,JESSICA,He was drinking in a hotel bar and bought the guests champagne all night.,disgust,neutral,disgust
