idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
,speech,Madison,"Promise me that if I die, you'll take care of my cat.",neutral,caring,neutral
,speech,Alexandre,"But come on, you're not going to die! And besides, your cat will probably die before you. Well, I think... How long do cats live?",anger,curiosity,neutral
,speech,Madison,About fifteen years.,neutral,neutral,sadness
,speech,Alexandre,How old is yours?,neutral,curiosity,neutral
,speech,Madison,Two.,neutral,neutral,neutral
,speech,Alexandre,"Let me remind you that when you entered here, I had a gun to my head.",anger,neutral,anger
,speech,Madison,"Exactly, that would give you a reason not to commit suicide...",neutral,approval,neutral
,speech,Alexandre,"If I had to feed a cat with vegetable kibbles and change its litter every day, you mean?",disgust,neutral,disgust
,speech,Madison,"If you had to take care of someone, yes. If someone cared about you, needed you, waited for you at home when you come home in the evening.",neutral,caring,neutral
,speech,Alexandre,"Wait for me? I hardly ever leave my house, especially not in the evening...",neutral,neutral,neutral
,speech,Madison,"Did you really want to end your life earlier, or was it a cry for help?",sadness,curiosity,sadness
,speech,Alexandre,"Anyway, I don't remember calling you...",neutral,neutral,neutral
,speech,Madison,I must have heard your call anyway.,neutral,neutral,neutral
,speech,Alexandre,"It's true, I'm finding it harder and harder to find reasons to hope.",neutral,disappointment,sadness
,speech,Madison,Do you want to speak with me about it?,neutral,curiosity,neutral
,speech,Alexandre,"Considering your personal situation, I would hesitate to burden you with the list of things that are getting me down.",fear,neutral,fear
,speech,Madison,To keep fighting even when you know the war is already lost... Isn't that true courage?,neutral,curiosity,neutral
,speech,Alexandre,I never said I was courageous. I wish I were as courageous as you.,fear,desire,fear
,speech,Madison,"I'm not courageous. I have no choice, that's all. Unlike you. 18",fear,neutral,fear
,speech,Alexandre,Me? I have the choice between the rope to hang myself and the gun to blow my brains out...,anger,neutral,anger
,speech,Madison,You're right... You're really depressing...,sadness,sadness,sadness
,speech,Alexandre,"I warned you, I'm an old fool. I don't know if this time is worse than my youth. Maybe I'm just more clear-sighted now. And clarity, in general, doesn't make one optimistic.",neutral,annoyance,neutral
,speech,Madison,"Actually, I would like a glass of brandy.",neutral,desire,neutral
,speech,Alexandre,Are you sure?,surprise,confusion,neutral
,speech,Madison,"Well, you have to die from something.",sadness,neutral,neutral
,consigne,,He pours two glasses of brandy. They toast.,,,
,speech,Alexandre,"To your health! Sorry, I think I've put my foot in it again...",sadness,remorse,anger
,consigne,,She smiles. They empty their glasses.,,,
,speech,Madison,It would wake the dead.,neutral,neutral,neutral
,speech,Alexandre,"I haven't been drinking for about ten years. I don't know how long this bottle has been there. But alcohol ages well, doesn't it? Better than alcoholics, anyway...",neutral,confusion,neutral
,speech,Madison,"Still, it tastes strange. Are you sure it's cognac?",surprise,curiosity,surprise
,consigne,,He looks at the bottle.,,,
,speech,Alexandre,I think so... But I don't remember very well what cognac tastes like anymore...,neutral,confusion,neutral
,speech,Madison,I would have liked to meet the young man you were.,joy,desire,neutral
,speech,Alexandre,What young man?,surprise,curiosity,surprise
,speech,Madison,The one who was in love with that woman in the photo. And who still had a passion for life...,neutral,love,neutral
,speech,Alexandre,I don't know if you would have liked it.,neutral,confusion,neutral
,speech,Madison,He was probably full of enthusiasm and hope.,neutral,optimism,neutral
,speech,Alexandre,"Full of ambition, at least.",neutral,neutral,neutral
,speech,Madison,Do you really have no friends left?,surprise,curiosity,sadness
,speech,Alexandre,"I can't stand old people, so I avoid people of my own age as much as possible. I don't want to be constantly confronted with a mirror reflecting my own decrepitude.",neutral,disapproval,neutral
,speech,Madison,I'm sure you haven't stopped writing all these years. 19,neutral,neutral,neutral
,speech,Alexandre,Is that why you made me drink? Hoping that I would confide in you...,neutral,neutral,surprise
,speech,Madison,A writer is meant to write.,neutral,neutral,neutral
,speech,Alexandre,"Alright, fair enough. I kept writing... But I won't publish anything anymore...",neutral,approval,neutral
,speech,Madison,Why not?,neutral,confusion,neutral
,speech,Alexandre,"I told you. I don't write to be read anymore. Maybe by future generations. But to today's readers, I have nothing left to say.",neutral,neutral,neutral
,speech,Madison,Not even to me?,anger,neutral,surprise
,speech,Alexandre,I don't know you. What makes you think I have something to say to you?,surprise,curiosity,surprise
,speech,Madison,Maybe we have more in common than you think...,neutral,neutral,neutral
,speech,Alexandre,Except for the fact that both of us are condemned to a short time frame?,disgust,neutral,neutral
,speech,Madison,Tell me at least what your book is about...,neutral,curiosity,neutral
,consigne,,He hesitates for a moment.,,,
,speech,Alexandre,It's a very personal novel.,neutral,neutral,neutral
,speech,Madison,"Autobiographical, then...",neutral,neutral,neutral
,speech,Alexandre,"Let's say it's autofiction, as they say nowadays.",neutral,neutral,neutral
,speech,Madison,Is that why you don't want to publish it? Because it's too personal?,anger,confusion,surprise
,speech,Alexandre,"I prefer to consider this manuscript as a diary. I don't like exhibitionism. If I publish it, people will say that I've become a writer of cheesy romance novels in my old age...",disgust,disapproval,neutral
,speech,Madison,I thought you didn't care what people think of you.,surprise,neutral,surprise
,speech,Alexandre,I guess I haven't reached that stage of wisdom just yet.,neutral,disapproval,neutral
,speech,Madison,Because it is impossible.,neutral,neutral,neutral
,speech,Alexandre,"Don't waste your time writing a thesis about me. It's not worth it, believe me.",anger,disapproval,anger
,speech,Madison,It is important to me.,joy,approval,neutral
,speech,Alexandre,"But why? Live your life, damn it! Especially if it could end any minute now... Besides, I don't believe you, and you still haven't shown me that medical file. 20",anger,annoyance,anger
,speech,Madison,"If you don't believe me, why did you agree to talk to me anyway?",anger,curiosity,anger
,speech,Alexandre,"I thought that to come up with such a story, you must have a good reason. What is it?",neutral,curiosity,neutral
,speech,Madison,It's a bit complicated...,neutral,confusion,neutral
,speech,Alexandre,So you were lying. And your heart is fine.,neutral,neutral,neutral
,speech,Madison,Let's just say that... my heart problems are more symbolic in nature.,sadness,sadness,neutral
,speech,Alexandre,Why did you tell me this?,surprise,curiosity,surprise
,speech,Madison,"To gain your sympathy, I imagine. You wanted to kick me out...",anger,neutral,anger
,speech,Alexandre,I could do it now...,neutral,optimism,neutral
,speech,Madison,But you won't.,neutral,neutral,neutral
,speech,Alexandre,And why is that?,surprise,curiosity,surprise
,speech,Madison,Because I intrigue you...,neutral,neutral,neutral
,speech,Alexandre,You say that your heart problems are symbolic. You mean... a broken heart?,sadness,neutral,sadness
,speech,Madison,"In a way... Like you, I have suffered from the absence of a loved one.",sadness,sadness,sadness
,speech,Alexandre,And what does that have to do with me?,neutral,curiosity,sadness
,speech,Madison,"I'll tell you soon, I promise. But before that, I would like to ask you a favor.",neutral,desire,neutral
,speech,Alexandre,Go on...,neutral,neutral,neutral
,speech,Madison,I want to read this manuscript.,sadness,desire,neutral
,speech,Alexandre,Why would I entrust it to you?,anger,curiosity,neutral
,speech,Madison,"Because deep down, you want someone to read it and give you their opinion. An author always writes to be read... and recognized. To be loved...",neutral,love,neutral
,speech,Alexandre,The only person I would have wanted to be loved by... disappeared from my life over forty years ago.,sadness,sadness,sadness
,speech,Madison,Where is this manuscript?,neutral,curiosity,neutral
,consigne,,He points to a folder on his desk.,,,
,speech,Alexandre,It's right there...,neutral,approval,neutral
,speech,Madison,Can I see it?,surprise,curiosity,neutral
,consigne,,"She makes a gesture to take it, but he stops her.",,,
,speech,Alexandre,No!,anger,disapproval,anger
,consigne,,She hesitates for a moment. A flicker of sadness passes through her eyes.,,,
,speech,Madison,"Well, you're right after all. You really are an old grump. I'll let you wallow in self-pity...",anger,approval,disgust
,consigne,,She is about to leave.,,,
,speech,Alexandre,Wait...,neutral,neutral,neutral
,consigne,,"He hesitates, then takes the manuscript and hands it to her.",,,
,speech,Alexandre,"I authorize you to read it, on one condition.",neutral,neutral,neutral
,speech,Madison,I'm listening.,neutral,neutral,neutral
,speech,Alexandre,This manuscript doesn't leave this place.,neutral,neutral,neutral
,speech,Madison,Are you afraid I'll make a copy and publish it without your permission?,fear,curiosity,anger
,speech,Alexandre,Take it or leave it.,neutral,neutral,neutral
,consigne,,She takes the file and weighs it in her hand.,,,
,speech,Madison,It will take me some time.,neutral,neutral,neutral
,speech,Alexandre,I'm in no hurry. And you?,surprise,neutral,neutral
,speech,Madison,Neither am I.,neutral,neutral,neutral
,speech,Alexandre,"I have a guest room, if you want. I hardly use it anymore. All my friends are dead...",neutral,sadness,sadness
,speech,Madison,Thank you for your hospitality.,joy,gratitude,neutral
,speech,Alexandre,I leave you to your reading...,neutral,neutral,neutral
,speech,Alexandre,"Here you go... I should warn you, it's decaf. Don't count on it to wake you up.",neutral,neutral,neutral
,speech,Madison,Thank you.,neutral,gratitude,neutral
,speech,Alexandre,So you didn't manage to finish it... 22,surprise,neutral,neutral
,speech,Madison,I've just finished it...,neutral,neutral,neutral
,speech,Alexandre,"Already? That's not possible, you must have skipped some pages...",surprise,disapproval,surprise
,speech,Madison,"No, I assure you...",neutral,caring,neutral
,consigne,,He leaves. She immerses herself in reading the manuscript.Alexandre seems a little worried about the silence that follows.,,,
,speech,Alexandre,You don't have to tell me what you think... Especially if you didn't like it...,neutral,neutral,neutral
,speech,Madison,I devoured it from the first page to the last. I didn't close my eyes all night.,neutral,neutral,neutral
,speech,Alexandre,Well... That's somewhat reassuring... But I didn't think I had written a suspense novel...,fear,realization,fear
,speech,Madison,It is your best book. It radiates a humanity that was missing from all the others.,joy,admiration,joy
,speech,Alexandre,"So I don't know if I should take that as a compliment... As for the rest of my work, anyway.",neutral,confusion,neutral
,speech,Madison,Your other novels were brilliant. This one is moving.,joy,admiration,neutral
,speech,Alexandre,And you noticed? The subject is directly related to the topic of your thesis.,surprise,neutral,neutral
,speech,Madison,My thesis...?,surprise,neutral,surprise
,speech,Alexandre,"""The figure of absence in the fictional universe of Alexandre Delacroix."" Have you already forgotten?",neutral,neutral,neutral
,speech,Madison,"No, of course not. And you are right. The story of this man who, at the age of twenty, chooses to live with only the ghost of a youthful love...",neutral,approval,neutral
,speech,Alexandre,"One never forgets their first love. Because they long for their youth, precisely. The nostalgia of all their first times... One must remain faithful to their first love. Even if one can't always remain faithful to the first woman they loved.",neutral,neutral,neutral
,speech,Madison,"Yes, but it's a risk. The risk of living in the past...",fear,approval,neutral
,speech,Alexandre,"In any case, one should never give up their dreams. So you think I should publish it?",neutral,neutral,anger
,speech,Madison,"If I say you yes, will you do it?",anger,curiosity,neutral
,speech,Alexandre,"You are an expert on my work, after all.",neutral,admiration,neutral
,speech,Madison,"I'm sure this novel can revive your literary career... In my opinion, it deserves a Goncourt. 23",joy,optimism,joy
,speech,Alexandre,Don't overdo it though. I appreciate that you want to lift up my spirits. But it has to remain believable...,neutral,admiration,neutral
,speech,Madison,"I'm completely sincere, I assure you.",neutral,approval,neutral
,speech,Alexandre,"And perfectly objective, of course.",neutral,approval,neutral
,speech,Madison,Do you doubt it?,surprise,curiosity,neutral
,speech,Alexandre,I don't know... Something tells me that you didn't just come to Paris to do a thesis on an outdated writer.,surprise,confusion,neutral
,consigne,,A pause.,,,
,speech,Madison,Indeed. I didn't tell you the whole truth.,neutral,approval,neutral
,speech,Alexandre,You're not suffering from heart disease. You don't have a cat. I imagine you are not a student either...,neutral,neutral,neutral
,speech,Madison,"What is true is that I am American, and that I came to France to meet you.",joy,neutral,neutral
,speech,Alexandre,You've been living in the apartment across from mine for several weeks now... Why now?,surprise,neutral,surprise
,speech,Madison,"Yesterday morning, through the window, I saw you hang that rope from the ceiling. Then take out that gun.",neutral,neutral,neutral
,speech,Alexandre,I didn't find a place to hang the rope.,neutral,neutral,neutral
,speech,Madison,I was afraid for you. Afraid you would disappear before I could get to know you. I rushed to your place... and I improvised.,fear,fear,fear
,speech,Alexandre,"It was very convincing. You should be an actress... But you know, in life as well as in theater, one must be wary of what we see behind the curtains. It's sometimes just an illusion. The projection of our own fantasies...",fear,approval,neutral
,speech,Madison,The rope wasn't for you to hang yourself?,neutral,neutral,surprise
,speech,Alexandre,What if I just wanted to... hang a chandelier?,neutral,curiosity,neutral
,speech,Madison,And the gun?,surprise,neutral,neutral
,consigne,,He takes out the weapon from the drawer.,,,
,speech,Alexandre,"It could be a toy. A fake weapon to scare off burglars... Or just a lighter...  A lighter that I don't need anymore, actually. I'm so afraid of dying that I quit smoking. But I always keep a pack of cigarettes within reach, just to prove to myself that I can resist temptation. I've also quit alcohol and even caffeine. That's how much I take care of my health...",fear,fear,neutral
,speech,Madison,So you didn't plan to put an end to your life? 24,surprise,curiosity,surprise
,speech,Alexandre,"Not yet, maybe the desire. To be honest, it's the only desire I have left. The desire to end it all. But to commit suicide, you need courage... And I don't have that kind of courage. Or maybe I'm not so desperate yet. And what's the point anyway? I'll wait for my turn, like everyone else...",neutral,confusion,sadness
,speech,Madison,So our meeting was just a misunderstanding?,neutral,confusion,neutral
,speech,Alexandre,I find it hard to believe that someone would cross the Atlantic just to interview a writer like me. And I don't believe in coincidence. So why are you here?,surprise,curiosity,surprise
,speech,Madison,"I'll tell you, but first of all, thank you for honoring me by being the first reader of this manuscript.",joy,gratitude,joy
,speech,Alexandre,Did you really like it?,surprise,curiosity,joy
,speech,Madison,It's a masterpiece. But I have a small remark.,neutral,admiration,joy
,speech,Alexandre,Here we go... I was expecting that... I'm listening.,surprise,neutral,neutral
,speech,Madison,I didn't find the ending quite convincing...,surprise,disapproval,neutral
,speech,Alexandre,You're right... It's an unfinished story... As if an epilogue lacked...,neutral,approval,neutral
,speech,Madison,I could help you find it...,neutral,caring,neutral
,speech,Alexandre,"Do you write too? Did you come here to propose a collaboration? It's true, I'm starting to lack some inspiration, but I have to warn you, I'm not yet at the point of looking for a ghostwriter to write my books for me.",neutral,curiosity,neutral
,speech,Madison,"No, I didn't come for that...",neutral,disapproval,neutral
,speech,Alexandre,And this thesis story is also a lie. So it's not just for the privilege of a literary chat with me that you played this charade...,disgust,neutral,neutral
,speech,Madison,I think the answer is in the manuscript I've just read. The window across the courtyard... Why that title?,surprise,confusion,surprise
,speech,Alexandre,The window across the courtyard... it is the one in the apartment you live in now. It's where the woman I once loved used to live.,neutral,love,neutral
,speech,Madison,And who has been haunting your thoughts since she went away.,fear,neutral,neutral
,speech,Alexandre,"I often dreamed that she would come back. That one day she would push my door, just like you did today...",surprise,desire,joy
,speech,Madison,That's why you always leave it open... 25,neutral,neutral,neutral
,speech,Alexandre,"Sometimes, I thought I saw a shadow behind the curtains of the window across. When you moved in, and I saw lights at night, I imagined it was her...",fear,neutral,fear
,speech,Madison,It was just me.,neutral,neutral,neutral
,speech,Alexandre,"You look a bit like her... That's why when I saw you earlier for the first time, I cringed. For a moment I thought it was her when she was twenty. And then I remembered that today she would be about the same age as me...",surprise,realization,neutral
,speech,Madison,"It's true, I look like her.",neutral,approval,neutral
,speech,Alexandre,Don't tell me you're her ghost.,fear,neutral,fear
,speech,Madison,"No, I'm very much real.",neutral,approval,neutral
,speech,Alexandre,"But there is something else, isn't there?",neutral,confusion,neutral
,speech,Madison,Yes.,neutral,approval,neutral
,speech,Alexandre,Why did you say her face looked familiar to you?,surprise,curiosity,surprise
,consigne,,A pause.,,,
,speech,Madison,I'm her granddaughter.,neutral,neutral,neutral
,consigne,,Silence.,,,
,speech,Alexandre,Her granddaughter...?,surprise,neutral,surprise
,speech,Madison,"When she left for Afghanistan, she was pregnant. She found out shortly after she left.",disgust,neutral,neutral
,speech,Alexandre,Pregnant? Me?,surprise,curiosity,surprise
,speech,Madison,Yes.,neutral,approval,neutral
,speech,Alexandre,Why didn't she tell me anything?,anger,curiosity,neutral
,speech,Madison,You said it yourself. It was a different time. She didn't want to impose the child on you. She thought she could raise it on her own. And that's what she did.,neutral,neutral,neutral
,speech,Alexandre,I never knew anything about it.,disgust,neutral,neutral
,speech,Madison,"Me neither, at least not until recently.",neutral,neutral,neutral
,speech,Alexandre,When did you find out?,surprise,curiosity,neutral
,speech,Madison,"A few years ago. When I turned eighteen, my grandmother told me this story. Your love story...",joy,love,neutral
,speech,Alexandre,"I do... Curiously, after all the lies you told me, I have no doubt about that.",neutral,annoyance,neutral
,speech,Madison,"I understand that it is quite difficult to hear. Take your time. You don't owe me anything. If that's what you want, I'll leave as I came, and you'll never hear from me again.",neutral,neutral,anger
,speech,Alexandre,"Stay, please.",neutral,neutral,neutral
,speech,Madison,I'm here.,neutral,neutral,neutral
,consigne,,A pause.,,,
,speech,Alexandre,"I can understand that at the time, she didn't tell me anything. But what about after?",neutral,confusion,neutral
,speech,Madison,"I'm telling you again. She didn't want to impose this fatherhood on you. And after that, she had lost track of you.",neutral,neutral,neutral
,speech,Alexandre,"Soon after she left, I moved out of this apartment. I couldn't bear to see that window every day that reminded me of her absence.",sadness,sadness,neutral
,speech,Madison,She sent you a letter a long time ago. The letter was returned to her with the mention “Does not reside at this address”.,neutral,neutral,neutral
,speech,Alexandre,"I came back to live here a few years ago. To write this book, precisely. As a way to exorcise the past.",fear,neutral,neutral
,speech,Madison,But her ghost has never stopped haunting you...,fear,neutral,fear
,speech,Alexandre,"I have known other women, of course. But I will have lived my whole life in the memory of that first love. I have never loved anyone else...",neutral,love,neutral
,speech,Madison,She didn't know if you were married. If you had founded a family on your side.,surprise,neutral,neutral
,speech,Alexandre,That was not the case.,neutral,disapproval,neutral
,speech,Madison,She heard about you when you became a famous writer.,joy,neutral,neutral
,speech,Alexandre,It was also with the hope of winning her back that I did everything to succeed in the literary world. And so that she could find me more easily thanks to my fame. She could have contacted me at that time.,joy,gratitude,neutral
,speech,Madison,"You would have thought she was coming back to you out of self- interest, now that you had become a successful author... That's what she feared, anyway...",fear,neutral,fear
,speech,Alexandre,So I have a daughter...,neutral,neutral,neutral
,consigne,,A moment of silence.,,,
,speech,Madison,"About my illness, too, I only half-lied to you. It was my mother who had a weak heart. She died shortly after I was born, without even knowing who her father was.",sadness,sadness,sadness
,speech,Alexandre,I'm sorry to hear that.,sadness,remorse,sadness
,speech,Madison,"It was my grandmother who raised me. And when I reached 18, she wanted me to know who my grandfather was. But she did not dare to contact you again.",anger,neutral,neutral
,speech,Alexandre,So you decided to do it for her. By coming to Paris.,neutral,neutral,neutral
,speech,Madison,"I couldn't see myself telling you all this in a letter or over the phone. I wanted to meet you first. You had a reputation for being grumpy. If I hadn't found you likable, I wouldn't have told you anything. And I would have gone back to New York.",anger,neutral,anger
,speech,Alexandre,But I welcomed you so well that you decided to adopt me...,joy,love,joy
,speech,Madison,And above all I read this manuscript. I understood that you had never forgotten this woman. My grandmother...,surprise,realization,neutral
,speech,Alexandre,You did well to come... and tell me the end of this story.,neutral,admiration,neutral
,speech,Madison,It's not quite the end yet...  Are you okay?,surprise,caring,neutral
,consigne,,He chooses humor to hide his emotions.,,,
,speech,Alexandre,"I was already feeling down about my age, and now you're telling me I'm a grandfather.",sadness,neutral,surprise
,speech,Madison,Doesn't that make you happy?,joy,joy,joy
,speech,Alexandre,"Of course it does... but I'm also learning at the same time that I have a daughter, and that she's dead.",sadness,realization,sadness
,speech,Madison,But here I'm ... I hardly knew my mother. I'm finding a grandfather.,surprise,surprise,surprise
,consigne,,Alexander takes the manuscript.,,,
,speech,Alexandre,"I will publish this book. I will dedicate it to this daughter I will never know. And to this granddaughter who one day showed up at my door, forcing her way in...",neutral,neutral,joy
,speech,Madison,The door was open...,surprise,neutral,neutral
,speech,Alexandre,But I still need to find a real ending for this novel.,neutral,desire,neutral
,speech,Madison,"For that, I can help you, as I told you.",neutral,caring,neutral
,speech,Alexandre,Alexandre –I don't know if my heart can handle any more surprises from you for much longer. 28,surprise,confusion,sadness
,speech,Madison,"There is one last thing, actually.",neutral,neutral,neutral
,speech,Alexandre,Go ahead. I'm already at a point where I can't be more surprised....,surprise,surprise,neutral
,speech,Madison,My grandmother is still alive.,sadness,neutral,neutral
,speech,Alexandre,And where does she live now?,neutral,curiosity,neutral
,speech,Madison,In New York.,neutral,neutral,neutral
,speech,Alexandre,So you'll give her a fond kiss from me...,neutral,love,joy
,speech,Madison,You can do it yourself.,neutral,approval,neutral
,speech,Alexandre,Are you taking me back to America with you?,surprise,curiosity,surprise
,speech,Madison,My grandmother came with me. She's in the apartment across the courtyard.,neutral,neutral,neutral
,consigne,,A pause. He is obviously disconcerted.,,,
,speech,Alexandre,Now I'm really starting to get scared...,fear,fear,fear
,speech,Madison,She is still a very beautiful woman... and she has never forgotten you. She 's read all your books...,surprise,admiration,joy
,speech,Alexandre,But she didn't want to know about the author's life.,sadness,neutral,neutral
,speech,Madison,You said it didn't matter...,neutral,neutral,neutral
,speech,Alexandre,She's the one that is missing in this novel.,neutral,neutral,neutral
,speech,Madison,"Yes, but she hasn't read it yet... She didn't know if you still remembered her... If you still loved her...",surprise,neutral,sadness
,speech,Alexandre,I still love her... This book is the proof of that...,joy,love,joy
,consigne,,"He looks towards the audience, towards the window across the courtyard.",,,
,speech,Madison,So? should I tell her to come over?,surprise,curiosity,neutral
,speech,Alexandre,She crossed the Atlantic to find me. I can cross the hallway to go to her...,neutral,neutral,neutral
,consigne,,Alexander kisses Madison.,,,
,speech,Madison,I'll let you go alone. You will see. Almost nothing has changed behind the window across the courtyard. And the door is still open...,neutral,neutral,neutral
